202012252041,26640.0,26638.0,26637.0,-1.0,-0.8
202012252045,26640.0,26639.0,26637.2,-1.8,-0.8
202012252049,26635.0,26638.0,26637.2,-0.8,-1.0
202012252053,26635.0,26637.0,26637.0,0.0,0.89
202012252056,26635.0,26637.0,26637.0,0.0,0.0
202012252101,26635.0,26636.0,26637.0,1.0,1.11
202012252106,26635.0,26635.0,26637.0,2.0,1.0
202012252109,26635.0,26635.0,26637.0,2.0,0.0
202012252114,26635.0,26635.0,26637.0,2.0,0.0
202012252117,26640.0,26636.0,26637.0,1.0,1.0
202012252121,26635.0,26636.0,26637.0,1.0,0.0
202012252126,26630.0,26635.0,26636.6,1.6,0.6
202012252129,26630.0,26634.0,26636.2,2.2,0.6
202012252134,26635.0,26634.0,26636.0,2.0,0.2
202012252136,26635.0,26633.0,26635.8,2.8,0.8
202012252141,26635.0,26633.0,26635.8,2.8,0.0
202012252146,26635.0,26634.0,26635.6,1.6,1.2
202012252150,26630.0,26634.0,26635.4,1.4,0.2
202012252153,26635.0,26634.0,26635.4,1.4,0.0
202012252158,26630.0,26633.0,26635.2,2.2,0.8
202012252201,26640.0,26634.0,26635.4,1.4,0.8
202012252205,26635.0,26634.0,26635.4,1.4,0.0
202012252210,26640.0,26636.0,26635.4,-0.6,-2.0
202012252213,26640.0,26637.0,26635.4,-1.6,-1.0
202012252216,26640.0,26639.0,26635.6,-3.4,-1.8
202012252221,26640.0,26639.0,26635.6,-3.4,-0.0
202012252225,26635.0,26639.0,26635.4,-3.6,-0.2
202012252229,26640.0,26639.0,26635.6,-3.4,-0.2
202012252233,26635.0,26638.0,26635.6,-2.4,-1.0
202012252238,26635.0,26637.0,26635.6,-1.4,-1.0
202012252241,26640.0,26637.0,26635.8,-1.2,-0.2
202012252245,26640.0,26638.0,26636.0,-2.0,-0.8
202012252248,26635.0,26637.0,26636.0,-1.0,-1.0
202012252253,26640.0,26638.0,26636.2,-1.8,-0.8
202012252258,26635.0,26638.0,26636.0,-2.0,-0.2
202012252301,26635.0,26637.0,26636.0,-1.0,-1.0
202012252306,26635.0,26636.0,26636.2,0.2,1.2
202012252310,26640.0,26637.0,26636.6,-0.4,-0.6
202012252312,26635.0,26636.0,26636.6,0.6,1.0
202012252318,26640.0,26637.0,26636.8,-0.2,-0.8
202012252321,26640.0,26638.0,26637.0,-1.0,-0.8
202012252324,26635.0,26638.0,26637.0,-1.0,-0.0
202012252330,26640.0,26638.0,26637.4,-0.6,-0.4
202012252337,26640.0,26639.0,26637.6,-1.4,-0.8
202012252341,26640.0,26639.0,26638.0,-1.0,-0.4
202012252344,26635.0,26638.0,26637.8,-0.2,-0.8
202012252348,26635.0,26638.0,26637.8,-0.2,-0.0
202012252353,26640.0,26638.0,26637.8,-0.2,-0.0
202012252357,26635.0,26637.0,26637.6,0.6,0.8
202012260001,26635.0,26636.0,26637.4,1.4,0.8
202012260005,26635.0,26636.0,26637.2,1.2,0.2
202012260009,26635.0,26636.0,26637.2,1.2,0.0
202012260014,26640.0,26636.0,26637.2,1.2,0.0
202012260018,26640.0,26637.0,26637.4,0.4,0.8
202012260021,26640.0,26638.0,26637.6,-0.4,-0.8
202012260025,26635.0,26638.0,26637.4,-0.6,-0.2
202012260028,26635.0,26638.0,26637.2,-0.8,-0.2
202012260034,26640.0,26638.0,26637.4,-0.6,-0.2
202012260037,26635.0,26637.0,26637.2,0.2,0.8
202012260041,26635.0,26636.0,26637.2,1.2,1.0
202012260045,26640.0,26637.0,26637.4,0.4,0.8
