日付,始値,高値,安値,終値,出来高,売買代金
2012-12-28,3315.00,3315.00,3290.00,3295.00,10800,35582500
2012-12-27,3375.00,3390.00,3330.00,3335.00,34700,116485500
2012-12-26,3415.00,3415.00,3365.00,3390.00,12100,40997500
2012-12-25,3445.00,3445.00,3405.00,3405.00,5800,19759000
2012-12-21,3455.00,3455.00,3390.00,3390.00,12600,42811500
2012-12-20,3445.00,3450.00,3410.00,3410.00,8000,27416500
2012-12-19,3395.00,3430.00,3370.00,3430.00,11700,40033500
2012-12-18,3330.00,3415.00,3330.00,3395.00,6100,20706500
2012-12-17,3455.00,3455.00,3380.00,3380.00,6800,23086500
2012-12-14,3375.00,3465.00,3375.00,3405.00,84600,286048000
2012-12-13,3470.00,3470.00,3415.00,3415.00,7700,26463000
2012-12-12,3495.00,3495.00,3460.00,3460.00,5400,18701500
2012-12-11,3505.00,3505.00,3475.00,3475.00,4500,15658000
2012-12-10,3580.00,3580.00,3515.00,3535.00,3800,13459000
2012-12-07,3575.00,3575.00,3550.00,3550.00,2300,8177500
2012-12-06,3600.00,3600.00,3560.00,3565.00,12400,44277000
2012-12-05,3505.00,3565.00,3505.00,3565.00,5800,20656500
2012-12-04,3470.00,3550.00,3470.00,3550.00,3500,12386000
2012-12-03,3520.00,3520.00,3485.00,3490.00,3500,12220500
2012-11-30,3485.00,3490.00,3485.00,3485.00,7800,27184000
2012-11-29,3455.00,3455.00,3440.00,3440.00,6000,20643000
2012-11-28,3440.00,3460.00,3425.00,3430.00,3800,13080500
2012-11-27,3410.00,3445.00,3410.00,3440.00,13600,46807000
2012-11-26,3480.00,3480.00,3385.00,3385.00,12000,41096000
2012-11-22,3490.00,3490.00,3410.00,3415.00,6500,22321000
2012-11-21,3465.00,3465.00,3420.00,3420.00,4400,15070500
2012-11-20,3455.00,3460.00,3445.00,3460.00,7400,25583500
2012-11-19,3410.00,3465.00,3410.00,3430.00,5500,18861500
2012-11-16,3365.00,3430.00,3365.00,3405.00,5900,20121500
2012-11-15,3335.00,3335.00,3320.00,3320.00,2200,7315000
