670,10,2,3,4,5,6,7,8,9,10.1
14884.3,14910.6,14950.4,14956.5,14976.1,14893.1,14756.6,14818.5,14884.8,14890.1,1
14789.4,14884.3,14910.6,14950.4,14956.5,14976.1,14893.1,14756.6,14818.5,14884.8,1
14721.5,14789.4,14884.3,14910.6,14950.4,14956.5,14976.1,14893.1,14756.6,14818.5,2
14610.2,14721.5,14789.4,14884.3,14910.6,14950.4,14956.5,14976.1,14893.1,14756.6,3
14468.6,14610.2,14721.5,14789.4,14884.3,14910.6,14950.4,14956.5,14976.1,14893.1,2
14278.7,14468.6,14610.2,14721.5,14789.4,14884.3,14910.6,14950.4,14956.5,14976.1,2
14089.8,14278.7,14468.6,14610.2,14721.5,14789.4,14884.3,14910.6,14950.4,14956.5,2
13895.9,14089.8,14278.7,14468.6,14610.2,14721.5,14789.4,14884.3,14910.6,14950.4,2
13644.8,13895.9,14089.8,14278.7,14468.6,14610.2,14721.5,14789.4,14884.3,14910.6,1
13551.6,13644.8,13895.9,14089.8,14278.7,14468.6,14610.2,14721.5,14789.4,14884.3,2
13481.2,13551.6,13644.8,13895.9,14089.8,14278.7,14468.6,14610.2,14721.5,14789.4,2
13457.3,13481.2,13551.6,13644.8,13895.9,14089.8,14278.7,14468.6,14610.2,14721.5,2
13431.7,13457.3,13481.2,13551.6,13644.8,13895.9,14089.8,14278.7,14468.6,14610.2,3
13444.9,13452.9,13431.7,13457.3,13481.2,13551.6,13644.8,13895.9,14089.8,14278.7,3
13286.3,13444.9,13452.9,13431.7,13457.3,13481.2,13551.6,13644.8,13895.9,14089.8,3
13230.2,13286.3,13444.9,13452.9,13431.7,13457.3,13481.2,13551.6,13644.8,13895.9,3
13159.1,13230.2,13286.3,13444.9,13452.9,13431.7,13457.3,13481.2,13551.6,13644.8,4
13054.4,13159.1,13230.2,13286.3,13444.9,13452.9,13431.7,13457.3,13481.2,13551.6,4
12885.1,13054.4,13159.1,13230.2,13286.3,13444.9,13452.9,13431.7,13457.3,13481.2,4
12725.2,12885.1,13054.4,13159.1,13230.2,13286.3,13444.9,13452.9,13431.7,13457.3,4
