日付,始値,高値,安値,終値,出来高,売買代金
2009-12-30,2930.00,2960.00,2915.00,2945.00,10500,30729500
2009-12-29,2885.00,2960.00,2880.00,2925.00,9100,26574500
2009-12-28,2900.00,2935.00,2885.00,2885.00,6700,19444500
2009-12-25,2935.00,2935.00,2890.00,2900.00,9300,27033500
2009-12-24,2970.00,2985.00,2920.00,2920.00,12300,36099500
2009-12-22,3000.00,3000.00,2945.00,2950.00,2900,8592500
2009-12-21,3020.00,3050.00,3020.00,3020.00,2200,6663000
2009-12-18,2980.00,3010.00,2980.00,3010.00,7300,21857500
2009-12-17,2980.00,3010.00,2960.00,2990.00,10500,31364000
2009-12-16,3040.00,3040.00,2950.00,2950.00,9700,28945000
2009-12-15,3000.00,3020.00,2950.00,2955.00,4200,12532500
2009-12-14,3010.00,3020.00,2940.00,2960.00,4500,13334000
2009-12-11,2975.00,3000.00,2970.00,2985.00,52100,155098000
2009-12-10,2945.00,2980.00,2940.00,2960.00,4800,14196500
2009-12-09,2895.00,2960.00,2895.00,2945.00,3100,9107000
2009-12-08,2935.00,2965.00,2935.00,2935.00,3300,9716500
2009-12-07,2930.00,2935.00,2890.00,2895.00,1400,4085000
2009-12-04,2900.00,2965.00,2900.00,2920.00,6100,17866000
2009-12-03,2975.00,2980.00,2910.00,2915.00,4500,13187000
2009-12-02,2920.00,2960.00,2920.00,2950.00,17300,50673500
2009-12-01,2855.00,2910.00,2840.00,2850.00,17200,49083500
2009-11-30,2755.00,2825.00,2745.00,2815.00,9500,26501500
2009-11-27,2700.00,2800.00,2700.00,2795.00,4400,12141500
2009-11-26,2685.00,2720.00,2670.00,2705.00,2500,6755000
2009-11-25,2725.00,2760.00,2685.00,2700.00,4800,13024500
2009-11-24,2835.00,2895.00,2690.00,2700.00,16700,45880500
2009-11-20,2825.00,2825.00,2775.00,2800.00,9700,27194000
2009-11-19,2810.00,2810.00,2720.00,2730.00,1400,3836000
2009-11-18,2760.00,2835.00,2760.00,2790.00,6000,16725000
2009-11-17,2780.00,2780.00,2715.00,2750.00,14400,39547500
2009-11-16,2850.00,2850.00,2780.00,2780.00,5400,15163500
2009-11-13,2895.00,2895.00,2830.00,2890.00,11700,33683000
2009-11-12,3100.00,3100.00,2855.00,2880.00,28700,84405000
2009-11-11,3130.00,3160.00,3100.00,3100.00,4200,13168000
2009-11-10,3120.00,3140.00,3070.00,3070.00,6200,19232000
2009-11-09,3120.00,3150.00,3120.00,3120.00,4400,13747000
2009-11-06,3100.00,3100.00,3090.00,3100.00,4600,14255000
2009-11-05,3140.00,3140.00,3090.00,3100.00,4800,14909000
2009-11-04,3140.00,3140.00,3120.00,3130.00,3500,10954000
2009-11-02,3100.00,3170.00,3100.00,3170.00,10200,31742000
2009-10-30,3120.00,3120.00,3090.00,3110.00,2300,7145000
2009-10-29,3100.00,3110.00,3100.00,3110.00,8900,27657000
2009-10-28,3070.00,3100.00,3070.00,3100.00,4800,14813000
2009-10-27,3080.00,3080.00,3040.00,3070.00,7500,23014000
2009-10-26,3090.00,3130.00,3080.00,3090.00,5900,18228000
2009-10-23,3150.00,3150.00,3090.00,3090.00,5700,17879000
2009-10-22,3110.00,3140.00,3110.00,3140.00,6100,19083000
2009-10-21,3010.00,3130.00,3010.00,3110.00,7000,21357000
2009-10-20,3090.00,3090.00,3040.00,3060.00,5800,17725000
2009-10-19,3050.00,3070.00,3030.00,3060.00,6800,20711000
2009-10-16,3060.00,3070.00,3050.00,3060.00,4300,13150000
2009-10-15,3080.00,3080.00,3040.00,3050.00,28400,86724000
2009-10-14,3110.00,3110.00,3070.00,3090.00,12600,38869000
2009-10-13,3070.00,3080.00,3060.00,3080.00,3900,11980000
2009-10-09,3080.00,3140.00,3060.00,3100.00,31500,97937000
2009-10-08,3050.00,3090.00,3050.00,3070.00,5000,15390000
2009-10-07,3120.00,3120.00,3070.00,3080.00,5200,16097000
2009-10-06,3140.00,3140.00,3100.00,3100.00,4600,14296000
