日付,コード,銘柄名,市場・商品区分,33業種コード,33業種区分,17業種コード,17業種区分,規模コード,規模区分
20161230,1328,金価格連動型上場投資信託,ETF・ETN,-,-,-,-,-,-
20161230,1329,ｉシェアーズ　日経２２５　ＥＴＦ,ETF・ETN,-,-,-,-,-,-
20161230,1330,上場インデックスファンド２２５,ETF・ETN,-,-,-,-,-,-
20161230,1332,日本水産,市場第一部（内国株）,50,水産・農林業,1,食品 ,6,TOPIX Small 1
20161230,1333,マルハニチロ,市場第一部（内国株）,50,水産・農林業,1,食品 ,4,TOPIX Mid400
20161230,1343,ＮＥＸＴ　ＦＵＮＤＳ　東証ＲＥＩＴ指数連動型上場投信,ETF・ETN,-,-,-,-,-,-
20161230,1344,ＭＡＸＩＳ　トピックス・コア３０上場投信,ETF・ETN,-,-,-,-,-,-
20161230,1345,上場インデックスファンドＪリート（東証ＲＥＩＴ指数）隔月分配型,ETF・ETN,-,-,-,-,-,-
20161230,1346,ＭＡＸＩＳ　日経２２５上場投信,ETF・ETN,-,-,-,-,-,-
20161230,1347,上場インデックスファンドＦＴＳＥ日本グリーンチップ３５,ETF・ETN,-,-,-,-,-,-
20161230,1348,ＭＡＸＩＳ　トピックス上場投信,ETF・ETN,-,-,-,-,-,-
20161230,1349,ＡＢＦ汎アジア債券インデックス・ファンド,ETF・ETN,-,-,-,-,-,-
20161230,1352,ホウスイ,市場第一部（内国株）,6050,卸売業,13,商社・卸売 ,7,TOPIX Small 2
20161230,1356,ＴＯＰＩＸベア２倍上場投信,ETF・ETN,-,-,-,-,-,-
20161230,1357,ＮＥＸＴ　ＦＵＮＤＳ　日経平均ダブルインバース・インデックス連動型上場投信,ETF・ETN,-,-,-,-,-,-
20161230,1358,上場インデックスファンド日経レバレッジ指数,ETF・ETN,-,-,-,-,-,-
20161230,1360,日経平均ベア２倍上場投信,ETF・ETN,-,-,-,-,-,-
20161230,1361,ｉシェアーズ　米国ハイイールド債券ＥＴＦ（ｉＢｏｘｘドル建てＬＨＹＣ）,ETF・ETN,-,-,-,-,-,-
20161230,1362,ｉシェアーズ　新興国債券ＥＴＦ（Ｌｏｃａｌ　ＥＭ国債コア）,ETF・ETN,-,-,-,-,-,-
20161230,1363,ｉシェアーズ　米国債ＥＴＦ（米７－１０年国債）,ETF・ETN,-,-,-,-,-,-
20161230,1364,ｉシェアーズ　ＪＰＸ日経４００　ＥＴＦ,ETF・ETN,-,-,-,-,-,-
20161230,1365,ダイワ上場投信－日経平均レバレッジ・インデックス,ETF・ETN,-,-,-,-,-,-
20161230,1366,ダイワ上場投信－日経平均ダブルインバース・インデックス,ETF・ETN,-,-,-,-,-,-
20161230,1367,ダイワ上場投信－ＴＯＰＩＸレバレッジ（２倍）指数,ETF・ETN,-,-,-,-,-,-
20161230,1368,ダイワ上場投信－ＴＯＰＩＸダブルインバース（－２倍）指数,ETF・ETN,-,-,-,-,-,-
20161230,1369,ＤＩＡＭ　ＥＴＦ　日経２２５,ETF・ETN,-,-,-,-,-,-
20161230,1376,カネコ種苗,市場第一部（内国株）,50,水産・農林業,1,食品 ,7,TOPIX Small 2
20161230,1377,サカタのタネ,市場第一部（内国株）,50,水産・農林業,1,食品 ,6,TOPIX Small 1
20161230,1379,ホクト,市場第一部（内国株）,50,水産・農林業,1,食品 ,6,TOPIX Small 1
20161230,1380,秋川牧園,JASDAQ(スタンダード・内国株）,50,水産・農林業,1,食品 ,-,-
20161230,1381,アクシーズ,JASDAQ(スタンダード・内国株）,50,水産・農林業,1,食品 ,-,-
20161230,1382,ホーブ,JASDAQ(スタンダード・内国株）,50,水産・農林業,1,食品 ,-,-
20161230,1383,ベルグアース,JASDAQ(スタンダード・内国株）,50,水産・農林業,1,食品 ,-,-
20161230,1384,ホクリヨウ,市場第一部（内国株）,50,水産・農林業,1,食品 ,7,TOPIX Small 2
20161230,1385,ＵＢＳ　ＥＴＦ　ユーロ圏大型株５０（ユーロ・ストックス５０）,ETF・ETN,-,-,-,-,-,-
20161230,1386,ＵＢＳ　ＥＴＦ　欧州株（ＭＳＣＩヨーロッパ）,ETF・ETN,-,-,-,-,-,-
20161230,1387,ＵＢＳ　ＥＴＦ　欧州通貨圏株（ＭＳＣＩ　ＥＭＵ）,ETF・ETN,-,-,-,-,-,-
20161230,1388,ＵＢＳ　ＥＴＦ　欧州通貨圏小型株（ＭＳＣＩ　ＥＭＵ小型株）,ETF・ETN,-,-,-,-,-,-
20161230,1389,ＵＢＳ　ＥＴＦ　英国大型株１００（ＦＴＳＥ　１００）,ETF・ETN,-,-,-,-,-,-
20161230,1390,ＵＢＳ　ＥＴＦ　ＭＳＣＩアジア太平洋株（除く日本）,ETF・ETN,-,-,-,-,-,-
20161230,1391,ＵＢＳ　ＥＴＦ　スイス株（ＭＳＣＩスイス２０／３５）,ETF・ETN,-,-,-,-,-,-
20161230,1392,ＵＢＳ　ＥＴＦ　英国株（ＭＳＣＩ英国）,ETF・ETN,-,-,-,-,-,-
20161230,1393,ＵＢＳ　ＥＴＦ　米国株（ＭＳＣＩ米国）,ETF・ETN,-,-,-,-,-,-
20161230,1394,ＵＢＳ　ＥＴＦ　先進国株（ＭＳＣＩワールド）,ETF・ETN,-,-,-,-,-,-
20161230,1397,ＳＭＡＭ　日経２２５上場投信,ETF・ETN,-,-,-,-,-,-
20161230,1398,ＳＭＡＭ　東証ＲＥＩＴ指数上場投信,ETF・ETN,-,-,-,-,-,-
20161230,1399,上場インデックスファンドＭＳＣＩ日本株高配当低ボラティリティ,ETF・ETN,-,-,-,-,-,-
20161230,1400,ルーデン・ホールディングス,JASDAQ(グロース・内国株）,2050,建設業,3,建設・資材 ,-,-
20161230,1401,エムビーエス,マザーズ（内国株）,2050,建設業,3,建設・資材 ,-,-
20161230,1407,ウエストホールディングス,JASDAQ(スタンダード・内国株）,2050,建設業,3,建設・資材 ,-,-
20161230,1408,サムシングホールディングス,JASDAQ(グロース・内国株）,2050,建設業,3,建設・資材 ,-,-
20161230,1414,ショーボンドホールディングス,市場第一部（内国株）,2050,建設業,3,建設・資材 ,6,TOPIX Small 1
20161230,1417,ミライト・ホールディングス,市場第一部（内国株）,2050,建設業,3,建設・資材 ,6,TOPIX Small 1
20161230,1418,インターライフホールディングス,JASDAQ(スタンダード・内国株）,2050,建設業,3,建設・資材 ,-,-
20161230,1419,タマホーム,市場第一部（内国株）,2050,建設業,3,建設・資材 ,7,TOPIX Small 2
20161230,1420,サンヨーホームズ,市場第一部（内国株）,2050,建設業,3,建設・資材 ,7,TOPIX Small 2
20161230,1429,日本アクア,マザーズ（内国株）,2050,建設業,3,建設・資材 ,-,-
20161230,1430,ファーストコーポレーション,市場第一部（内国株）,2050,建設業,3,建設・資材 ,-,-
20161230,1432,動力,PRO Market,2050,建設業,3,建設・資材 ,-,-
20161230,1433,ベステラ,マザーズ（内国株）,2050,建設業,3,建設・資材 ,-,-
20161230,1434,ＪＥＳＣＯホールディングス,市場第二部（内国株）,2050,建設業,3,建設・資材 ,-,-
20161230,1435,インベスターズクラウド,市場第一部（内国株）,2050,建設業,3,建設・資材 ,-,-
20161230,1436,フィット,マザーズ（内国株）,2050,建設業,3,建設・資材 ,-,-
20161230,1437,ピースリビング,PRO Market,2050,建設業,3,建設・資材 ,-,-
20161230,1456,ダイワ上場投信－日経平均インバース・インデックス,ETF・ETN,-,-,-,-,-,-
20161230,1457,ダイワ上場投信－ＴＯＰＩＸインバース（－１倍）指数,ETF・ETN,-,-,-,-,-,-
20161230,1458,楽天ＥＴＦ‐日経レバレッジ指数連動型,ETF・ETN,-,-,-,-,-,-
20161230,1459,楽天ＥＴＦ‐日経ダブルインバース指数連動型,ETF・ETN,-,-,-,-,-,-
20161230,1460,ＭＡＸＩＳ　ＪＡＰＡＮ　クオリティ１５０上場投信,ETF・ETN,-,-,-,-,-,-
20161230,1464,ダイワ上場投信－ＪＰＸ日経４００レバレッジ・インデックス,ETF・ETN,-,-,-,-,-,-
20161230,1465,ダイワ上場投信－ＪＰＸ日経４００インバース・インデックス,ETF・ETN,-,-,-,-,-,-
20161230,1466,ダイワ上場投信－ＪＰＸ日経４００ダブルインバース・インデックス,ETF・ETN,-,-,-,-,-,-
20161230,1467,ＪＰＸ日経４００ブル２倍上場投信（レバレッジ）,ETF・ETN,-,-,-,-,-,-
20161230,1468,ＪＰＸ日経４００ベア上場投信（インバース）,ETF・ETN,-,-,-,-,-,-
20161230,1469,ＪＰＸ日経４００ベア２倍上場投信（ダブルインバース）,ETF・ETN,-,-,-,-,-,-
20161230,1470,ＮＥＸＴ　ＦＵＮＤＳ　ＪＰＸ日経４００レバレッジ・インデックス連動型上場投信,ETF・ETN,-,-,-,-,-,-
20161230,1471,ＮＥＸＴ　ＦＵＮＤＳ　ＪＰＸ日経４００インバース・インデックス連動型上場投信,ETF・ETN,-,-,-,-,-,-
20161230,1472,ＮＥＸＴ　ＦＵＮＤＳ　ＪＰＸ日経４００ダブルインバース・インデックス連動型上場投信,ETF・ETN,-,-,-,-,-,-
