日付,始値,高値,安値,終値,出来高,売買代金
2014-12-30,6590.00,6590.00,6470.00,6470.00,231000,1501629000
2014-12-29,6560.00,6600.00,6480.00,6590.00,188700,1238897000
2014-12-26,6470.00,6540.00,6470.00,6510.00,125400,815901000
2014-12-25,6540.00,6560.00,6490.00,6510.00,84500,550719000
2014-12-24,6550.00,6560.00,6470.00,6540.00,141600,922793000
2014-12-22,6530.00,6560.00,6430.00,6480.00,138900,900839000
2014-12-19,6470.00,6550.00,6430.00,6510.00,249900,1626077000
2014-12-18,6400.00,6450.00,6300.00,6370.00,354900,2261305000
2014-12-17,6320.00,6420.00,6290.00,6300.00,298300,1891441000
2014-12-16,6440.00,6570.00,6340.00,6410.00,264800,1701695000
2014-12-15,6570.00,6640.00,6500.00,6510.00,319800,2097621000
2014-12-12,6330.00,6450.00,6330.00,6370.00,351900,2238295000
2014-12-11,6340.00,6420.00,6210.00,6280.00,394100,2479118000
2014-12-10,6580.00,6590.00,6430.00,6440.00,233900,1517534000
2014-12-09,6610.00,6720.00,6570.00,6590.00,161600,1068002000
2014-12-08,6710.00,6730.00,6660.00,6670.00,134700,900302000
2014-12-05,6680.00,6710.00,6600.00,6640.00,180700,1200507000
2014-12-04,6750.00,6770.00,6700.00,6740.00,206100,1389846000
2014-12-03,6780.00,6800.00,6660.00,6700.00,279900,1876924000
2014-12-02,6750.00,6840.00,6680.00,6770.00,216900,1465605000
2014-12-01,6690.00,6820.00,6680.00,6740.00,143900,971960000
2014-11-28,6620.00,6680.00,6590.00,6640.00,157000,1042698000
2014-11-27,6650.00,6670.00,6600.00,6630.00,187000,1241957000
2014-11-26,6750.00,6780.00,6630.00,6640.00,274900,1838418000
2014-11-25,6850.00,6950.00,6670.00,6720.00,248400,1675017000
2014-11-21,6640.00,6760.00,6620.00,6750.00,208200,1393711000
2014-11-20,6800.00,6800.00,6620.00,6670.00,223000,1491826000
2014-11-19,6720.00,6840.00,6650.00,6760.00,184500,1248905000
2014-11-18,6680.00,6740.00,6630.00,6690.00,258300,1725546000
2014-11-17,6700.00,6700.00,6530.00,6560.00,214600,1412653000
2014-11-14,6790.00,6830.00,6700.00,6800.00,228200,1545518000
2014-11-13,6590.00,6670.00,6530.00,6670.00,172900,1145521000
2014-11-12,6670.00,6730.00,6580.00,6590.00,199200,1321139000
2014-11-11,6610.00,6650.00,6550.00,6610.00,209100,1379634000
2014-11-10,6590.00,6610.00,6510.00,6560.00,165800,1085924000
2014-11-07,6590.00,6670.00,6570.00,6630.00,161900,1071933000
2014-11-06,6880.00,6920.00,6590.00,6590.00,293800,1973322000
2014-11-05,6710.00,6790.00,6660.00,6780.00,265200,1789123000
2014-11-04,7060.00,7130.00,6680.00,6730.00,375200,2553611000
2014-10-31,6350.00,6600.00,6350.00,6560.00,363600,2356791000
2014-10-30,6190.00,6360.00,6180.00,6320.00,279500,1762669000
2014-10-29,6200.00,6200.00,6110.00,6180.00,158400,977286000
2014-10-28,6110.00,6170.00,6080.00,6130.00,110500,677288000
2014-10-27,5990.00,6130.00,5990.00,6110.00,121700,740509000
2014-10-24,5990.00,6010.00,5910.00,5980.00,132900,793295000
2014-10-23,5980.00,6000.00,5910.00,5950.00,114200,679959000
2014-10-22,5900.00,5990.00,5890.00,5990.00,170600,1015026000
2014-10-21,5920.00,5990.00,5820.00,5830.00,186100,1094306000
2014-10-20,5790.00,5890.00,5730.00,5880.00,200700,1172184000
2014-10-17,5880.00,5920.00,5720.00,5720.00,256200,1487593000
2014-10-16,5850.00,5980.00,5840.00,5900.00,210300,1244856000
2014-10-15,6000.00,6020.00,5860.00,5940.00,234500,1391715000
2014-10-14,5970.00,6080.00,5950.00,6010.00,338100,2037632000
2014-10-10,5930.00,6050.00,5930.00,6030.00,266300,1597861000
2014-10-09,6020.00,6060.00,5990.00,6020.00,217700,1311110000
2014-10-08,6010.00,6060.00,5990.00,6020.00,158300,953069000
2014-10-07,6130.00,6210.00,6110.00,6130.00,149100,917551000
2014-10-06,6080.00,6130.00,6040.00,6090.00,186400,1135909000
2014-10-03,5970.00,6070.00,5970.00,6050.00,163800,988875000
2014-10-02,6140.00,6170.00,5960.00,5970.00,298700,1808230000
2014-10-01,6170.00,6240.00,6160.00,6160.00,192500,1192417000
2014-09-30,6150.00,6180.00,6070.00,6140.00,207000,1268811000
2014-09-29,6110.00,6220.00,6060.00,6170.00,214600,1323497000
2014-09-26,6060.00,6110.00,6010.00,6050.00,224100,1354161000
2014-09-25,6080.00,6150.00,6050.00,6110.00,359400,2193723000
2014-09-24,5980.00,6160.00,5960.00,6120.00,226400,1380965000
2014-09-22,5980.00,6030.00,5950.00,6020.00,185400,1112038000
2014-09-19,6020.00,6030.00,5970.00,5980.00,229800,1377312000
2014-09-18,6030.00,6040.00,5960.00,5990.00,226600,1359985000
2014-09-17,5940.00,6030.00,5940.00,5990.00,254500,1525843000
2014-09-16,5980.00,6000.00,5940.00,5970.00,120700,720397000
