
,Trade Date,,20191206

JPX Code,164120005
Instrument,FUT_TOPIX_1912
12336,日産証券,Nissan Securities,783,12176,ドイツ証券,Deutsche Securities,409
11060,ａｕカブコム証券,au Kabucom Securitie,561,12336,日産証券,Nissan Securities,392
12057,楽天証券,Rakuten Securities,553,12560,松井証券,MATSUI SECURITIES,308
11746,ＵＢＳ証券,UBS Securities Japan,355,12072,東海東京証券,Tokai Tokyo Sec,256
11635,クレディ・スイス証券,Credit Suisse Japan,304,12428,ＢＮＰパリバ証券,BNP Paribas (Japan),223
12560,松井証券,MATSUI SECURITIES,241,12410,バークレイズ証券,Barclays Japan,216
12330,マネックス証券,Monex,124,11696,みずほ証券,Mizuho Securities,198
12000,大和証券,Daiwa Securities,117,12000,大和証券,Daiwa Securities,139
12072,東海東京証券,Tokai Tokyo Sec,112,11746,ＵＢＳ証券,UBS Securities Japan,94

JPX Code,165030018
Instrument,FUT_NK225_2003
12400,野村證券,Nomura Securities,4426,12479,ＡＢＮアムロクリア,ABN AMRO Clearing,2684
12328,ＳＭＢＣ日興証券,SMBC Nikko Sec,3994,11788,ソシエテ・ジェネラル,Societe Generale,2250
12479,ＡＢＮアムロクリア,ABN AMRO Clearing,1309,11560,ゴールドマンサックス,Goldman Sachs Japan,1245
11788,ソシエテ・ジェネラル,Societe Generale,817,12328,ＳＭＢＣ日興証券,SMBC Nikko Sec,1176
12792,メリルリンチ日本証券,Merrill Lynch Japan,648,12428,ＢＮＰパリバ証券,BNP Paribas (Japan),1000
11256,ＳＢＩ証券,SBI SECURITIES,208,12410,バークレイズ証券,Barclays Japan,946
11060,ａｕカブコム証券,au Kabucom Securitie,158,11714,ＪＰモルガン証券,JPMorgan Japan,724
12560,松井証券,MATSUI SECURITIES,109,12792,メリルリンチ日本証券,Merrill Lynch Japan,644
12057,楽天証券,Rakuten Securities,64,11696,みずほ証券,Mizuho Securities,501
12800,モルガンスタンレー,Morgan Stanley MUFG,60,12400,野村證券,Nomura Securities,200
12336,日産証券,Nissan Securities,42,11060,ａｕカブコム証券,au Kabucom Securitie,120
12330,マネックス証券,Monex,29,12336,日産証券,Nissan Securities,108
11714,ＪＰモルガン証券,JPMorgan Japan,22,12072,東海東京証券,Tokai Tokyo Sec,72
12072,東海東京証券,Tokai Tokyo Sec,21,12000,大和証券,Daiwa Securities,70
11272,岡三証券,OKASAN SECURITIES,19,11256,ＳＢＩ証券,SBI SECURITIES,63
11696,みずほ証券,Mizuho Securities,10,12560,松井証券,MATSUI SECURITIES,61
11784,ライブスター証券,livestar Securities,10,12057,楽天証券,Rakuten Securities,44
12410,バークレイズ証券,Barclays Japan,9,11272,岡三証券,OKASAN SECURITIES,36
11727,ＧＭＯクリック証券,GMO CLICK Securities,6,12330,マネックス証券,Monex,8
12888,山和証券,YAMAWA SECURITIES,2,12800,モルガンスタンレー,Morgan Stanley MUFG,8
12208,内藤証券,NAITO SECURITIES,2,-,-,-,-
12000,大和証券,Daiwa Securities,2,-,-,-,-
12428,ＢＮＰパリバ証券,BNP Paribas (Japan),2,-,-,-,-

JPX Code,164120019
Instrument,FUT_NK225M_1912
12479,ＡＢＮアムロクリア,ABN AMRO Clearing,146132,12479,ＡＢＮアムロクリア,ABN AMRO Clearing,143107
11788,ソシエテ・ジェネラル,Societe Generale,93028,11788,ソシエテ・ジェネラル,Societe Generale,90326
11256,ＳＢＩ証券,SBI SECURITIES,15134,12792,メリルリンチ日本証券,Merrill Lynch Japan,15890
12057,楽天証券,Rakuten Securities,12197,11256,ＳＢＩ証券,SBI SECURITIES,13353
12560,松井証券,MATSUI SECURITIES,11867,12057,楽天証券,Rakuten Securities,11203
12792,メリルリンチ日本証券,Merrill Lynch Japan,10346,12560,松井証券,MATSUI SECURITIES,10330
11060,ａｕカブコム証券,au Kabucom Securitie,6347,11060,ａｕカブコム証券,au Kabucom Securitie,5555
11272,岡三証券,OKASAN SECURITIES,4437,11272,岡三証券,OKASAN SECURITIES,4084
12428,ＢＮＰパリバ証券,BNP Paribas (Japan),3837,12428,ＢＮＰパリバ証券,BNP Paribas (Japan),4044
12330,マネックス証券,Monex,3445,11714,ＪＰモルガン証券,JPMorgan Japan,3434
12800,モルガンスタンレー,Morgan Stanley MUFG,2568,12330,マネックス証券,Monex,3084
11635,クレディ・スイス証券,Credit Suisse Japan,2208,12800,モルガンスタンレー,Morgan Stanley MUFG,2938
11784,ライブスター証券,livestar Securities,2024,12176,ドイツ証券,Deutsche Securities,2750
12336,日産証券,Nissan Securities,1945,12410,バークレイズ証券,Barclays Japan,2339
11714,ＪＰモルガン証券,JPMorgan Japan,1916,12336,日産証券,Nissan Securities,2329
11727,ＧＭＯクリック証券,GMO CLICK Securities,1857,12400,野村證券,Nomura Securities,1743
12000,大和証券,Daiwa Securities,1261,11727,ＧＭＯクリック証券,GMO CLICK Securities,1648
12464,廣田証券,HIROTA SECURITIES,1001,11635,クレディ・スイス証券,Credit Suisse Japan,1532
12410,バークレイズ証券,Barclays Japan,856,11784,ライブスター証券,livestar Securities,1091
12400,野村證券,Nomura Securities,645,12464,廣田証券,HIROTA SECURITIES,1075

JPX Code,165010019
Instrument,FUT_NK225M_2001
12479,ＡＢＮアムロクリア,ABN AMRO Clearing,2783,12479,ＡＢＮアムロクリア,ABN AMRO Clearing,2956
11788,ソシエテ・ジェネラル,Societe Generale,1808,11788,ソシエテ・ジェネラル,Societe Generale,1820
12792,メリルリンチ日本証券,Merrill Lynch Japan,797,12792,メリルリンチ日本証券,Merrill Lynch Japan,884
11784,ライブスター証券,livestar Securities,265,11784,ライブスター証券,livestar Securities,269
11256,ＳＢＩ証券,SBI SECURITIES,217,12057,楽天証券,Rakuten Securities,131
12057,楽天証券,Rakuten Securities,208,11060,ａｕカブコム証券,au Kabucom Securitie,93
11060,ａｕカブコム証券,au Kabucom Securitie,97,11256,ＳＢＩ証券,SBI SECURITIES,72
12560,松井証券,MATSUI SECURITIES,74,12560,松井証券,MATSUI SECURITIES,70
12330,マネックス証券,Monex,62,12330,マネックス証券,Monex,24
12000,大和証券,Daiwa Securities,28,11272,岡三証券,OKASAN SECURITIES,18
12336,日産証券,Nissan Securities,19,12288,フィリップ証券,Phillip Securities,15
11272,岡三証券,OKASAN SECURITIES,9,12336,日産証券,Nissan Securities,12
11727,ＧＭＯクリック証券,GMO CLICK Securities,7,11727,ＧＭＯクリック証券,GMO CLICK Securities,6
